year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
1971.0,0.0023,0.108,0.108,0.5,15.0,15.0
1972.0,0.0035,0.2,0.2,1.0,5.0,5.0
1974.0,0.006,2.0,2.0,0.8,5.0,5.0
1976.0,0.0085,2.5,2.5,0.8,5.0,5.0
1978.0,0.029,5.0,5.0,1.7,5.0,5.0
1978.0,,10.0,10.0,1.8,5.0,5.0
1978.0,,8.0,8.0,1.8,5.0,5.0
1979.0,0.029,8.0,8.0,1.8,5.0,5.0
1979.0,0.068,14.0,14.0,,5.0,5.0
1982.0,0.134,6.0,6.0,3.3,5.0,5.0
1982.0,,10.0,10.0,3.3,5.0,5.0
1982.0,,12.0,12.0,3.3,5.0,5.0
1983.0,0.068,14.0,14.0,1.5,5.0,5.0
1984.0,0.19,25.0,25.0,0.72,5.0,5.0
1985.0,0.275,16.0,16.0,1.7,5.0,5.0
1986.0,0.11,16.0,16.0,3.0,5.0,5.0
1987.0,,20.0,20.0,1.3,5.0,5.0
1987.0,0.27,50.0,50.0,,5.0,5.0
1988.0,,25.0,25.0,1.6,5.0,5.0
1988.0,0.12,40.0,40.0,4.0,5.0,5.0
1989.0,,33.0,33.0,2.0,5.0,5.0
1989.0,1.2,25.0,25.0,4.5,5.0,5.0
1990.0,0.08,40.0,40.0,3.0,5.0,5.0
1990.0,1.2,33.0,33.0,3.5,5.0,5.0
1991.0,1.2,33.0,33.0,6.0,5.0,5.0
1991.0,0.8,50.0,50.0,4.0,5.0,5.0
1991.0,,50.0,50.0,4.0,5.0,5.0
1992.0,,66.0,66.0,5.8,5.0,5.0
1992.0,1.68,200.0,200.0,30.0,3.3,3.3
1992.0,1.68,190.0,190.0,30.0,3.3,3.3
1992.0,0.6,33.0,33.0,,5.0,5.0
1992.0,1.1,100.0,100.0,15.0,5.0,5.0
1992.0,1.68,100.0,100.0,30.0,3.3,3.3
1992.0,2.3,100.0,100.0,15.0,3.3,3.3
1992.0,2.3,150.0,150.0,15.0,3.3,3.3
1992.0,2.3,200.0,200.0,15.0,3.3,3.3
1992.0,2.3,175.0,175.0,15.0,3.3,3.3
1992.0,3.1,50.0,50.0,,5.0,5.0
1992.0,3.1,40.0,40.0,,5.0,5.0
1992.0,1.68,125.0,125.0,30.0,3.3,3.3
1992.0,1.68,150.0,150.0,30.0,3.3,3.3
1992.0,1.68,175.0,175.0,30.0,3.3,3.3
1992.0,3.1,60.0,60.0,14.2,5.0,5.0
1992.0,1.68,166.0,166.0,30.0,3.3,3.3
1993.0,,100.0,100.0,,5.0,5.0
1993.0,3.2,60.0,60.0,13.0,5.0,5.0
1993.0,3.2,66.0,66.0,13.0,5.0,5.0
1993.0,0.93,40.0,40.0,3.0,5.0,5.0
1993.0,1.5,72.0,72.0,,5.0,5.0
1993.0,2.8,75.0,75.0,6.5,3.6,3.6
1993.0,1.1,100.0,100.0,,5.0,5.0
1993.0,2.8,66.0,66.0,6.5,3.6,3.6
1993.0,1.6,80.0,80.0,2.2,3.3,3.3
1994.0,2.3,60.0,60.0,,3.3,3.3
1994.0,2.3,70.0,70.0,,3.3,3.3
1994.0,2.3,85.0,85.0,,3.3,3.3
1994.0,2.8,120.0,120.0,17.0,3.3,3.3
1994.0,1.6,100.0,100.0,4.1,3.3,3.3
1994.0,,100.0,100.0,3.9,3.6,3.135
1994.0,3.6,100.0,100.0,14.0,2.5,2.5
1994.0,9.3,350.0,350.0,56.0,3.3,3.3
1994.0,9.3,333.0,333.0,56.0,3.3,3.3
1994.0,9.3,300.0,300.0,51.0,3.3,3.3
1994.0,9.3,291.0,291.0,51.0,3.3,3.3
1994.0,9.3,266.0,266.0,46.0,3.3,3.3
1994.0,2.85,225.0,225.0,33.0,3.3,3.3
1994.0,3.5,93.0,93.0,9.0,4.0,4.0
1994.0,2.4,66.0,66.0,,3.3,3.3
1994.0,2.6,75.0,75.0,13.0,3.3,3.3
1994.0,2.6,75.0,75.0,13.0,3.3,3.3
1994.0,2.85,233.0,233.0,33.0,3.3,3.3
1994.0,2.85,266.0,266.0,33.0,3.3,3.3
1994.0,2.85,275.0,275.0,33.0,3.3,3.3
1994.0,2.85,300.0,300.0,33.0,3.3,3.3
1994.0,,133.0,133.0,,5.0,5.0
1994.0,1.9,150.0,150.0,3.0,5.0,5.0
1994.0,,133.0,133.0,,5.0,5.0
1994.0,1.5,100.0,100.0,,3.3,3.3
1994.0,2.3,200.0,200.0,,3.3,3.3
1994.0,1.5,125.0,125.0,,3.3,3.3
1994.0,9.3,250.0,250.0,46.0,3.3,3.3
1995.0,,110.0,110.0,,3.3,3.3
1995.0,1.5,150.0,150.0,,3.3,3.3
1995.0,7.0,133.0,133.0,30.0,3.3,3.3
1995.0,,180.0,180.0,,,
1995.0,2.0,120.0,120.0,3.0,3.3,3.3
1995.0,2.8,120.0,120.0,5.6,3.3,3.3
1995.0,1.6,66.0,66.0,3.0,3.3,3.3
1995.0,2.6,100.0,100.0,3.5,3.3,3.3
1995.0,,160.0,160.0,,,
1995.0,5.2,296.0,296.0,,3.3,3.3
1995.0,,118.0,118.0,,,
1995.0,,101.0,101.0,,,
1995.0,3.1,75.0,75.0,,3.3,3.3
1995.0,3.1,90.0,90.0,16.0,3.3,3.3
1995.0,5.2,143.0,143.0,,3.3,3.3
1995.0,5.2,248.0,248.0,,3.3,3.3
1995.0,5.2,200.0,200.0,,3.3,3.3
1995.0,5.2,167.0,167.0,,3.3,3.3
1995.0,9.66,767.0,767.0,,2.5,2.5
1995.0,1.0,66.0,66.0,1.2,3.3,3.3
1995.0,2.3,250.0,250.0,,3.3,3.3
1995.0,9.66,400.0,400.0,,2.5,2.5
1995.0,9.66,433.0,433.0,,2.5,2.5
1995.0,9.66,437.0,437.0,,2.5,2.5
1995.0,1.8,233.0,233.0,23.0,3.3,3.3
1995.0,,200.0,200.0,37.9,3.3,
1995.0,1.8,99.0,99.0,23.0,3.3,3.3
1995.0,9.66,466.0,466.0,,2.5,2.5
1995.0,9.66,374.0,374.0,,2.5,2.5
1995.0,1.8,231.0,231.0,23.0,3.3,3.3
1995.0,9.66,480.0,480.0,,2.5,2.5
1995.0,9.66,500.0,500.0,,2.5,2.5
1995.0,3.3,133.0,133.0,4.3,2.665,2.285
1995.0,,120.0,120.0,5.1,3.6,3.4
1995.0,9.66,533.0,533.0,,2.5,2.5
1995.0,9.66,600.0,600.0,,2.5,2.5
1995.0,9.66,612.0,612.0,55.0,2.5,2.5
1995.0,2.3,240.0,240.0,,3.3,3.3
1995.0,9.66,352.0,352.0,31.0,2.5,2.5
1996.0,4.3,75.0,75.0,,3.52,3.52
1996.0,4.3,90.0,90.0,11.0,3.52,3.52
1996.0,9.0,160.0,160.0,15.0,3.3,3.3
1996.0,3.0,120.0,120.0,12.0,3.3,3.3
1996.0,,132.0,132.0,,,
1996.0,3.0,170.0,170.0,9.0,3.3,3.3
1996.0,,180.0,180.0,,,
1996.0,15.0,77.0,77.0,,,
1996.0,5.1,166.0,166.0,,2.5,2.5
1996.0,6.8,196.0,196.0,,3.3,3.3
1996.0,6.8,180.0,180.0,,3.3,3.3
1996.0,6.8,195.0,195.0,,3.3,3.3
1996.0,5.1,250.0,250.0,,2.5,2.5
1996.0,5.1,233.0,233.0,,2.5,2.5
1996.0,5.1,225.0,225.0,,2.5,2.5
1996.0,5.1,200.0,200.0,,2.5,2.5
1996.0,6.8,200.0,200.0,,3.3,3.3
1996.0,2.6,200.0,200.0,5.5,2.5,2.5
